path,width,height,mode,alpha_expected
assets/ui_assets/campaign/islands/frozen_paradise/gameplay_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/frozen_paradise/gameplay_table.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/frozen_paradise/gameplay_table_shadow.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/frozen_paradise/launch_zone.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/frozen_paradise/map_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/frozen_paradise/map_title.png,500,120,RGBA,True
assets/ui_assets/campaign/islands/frozen_paradise/table_edge_overlay.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/frozen_paradise/theme_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/frozen_paradise/world_icon.png,220,220,RGBA,True
assets/ui_assets/campaign/islands/party_beach/complete_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/party_beach/decor_back.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/party_beach/decor_left.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/party_beach/decor_right.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/party_beach/gameplay_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/party_beach/gameplay_table.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/party_beach/gameplay_table_shadow.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/party_beach/launch_zone.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/party_beach/map_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/party_beach/map_title.png,500,120,RGBA,True
assets/ui_assets/campaign/islands/party_beach/table_edge_overlay.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/party_beach/theme_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/party_beach/world_icon.png,220,220,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/complete_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/decor_back.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/decor_left.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/decor_right.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/gameplay_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/gameplay_table.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/gameplay_table_shadow.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/launch_zone.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/map_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/map_title.png,500,120,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/table_edge_overlay.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/theme_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/sunny_cove/world_icon.png,220,220,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/complete_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/decor_back.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/decor_left.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/decor_right.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/gameplay_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/gameplay_table.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/gameplay_table_shadow.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/launch_zone.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/map_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/map_title.png,500,120,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/table_edge_overlay.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/theme_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/sunset_island/world_icon.png,220,220,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/complete_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/decor_back.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/decor_left.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/decor_right.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/gameplay_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/gameplay_table.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/gameplay_table_shadow.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/launch_zone.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/map_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/map_title.png,500,120,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/table_edge_overlay.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/theme_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/tiki_island/world_icon.png,220,220,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/complete_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/decor_back.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/decor_left.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/decor_right.png,300,380,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/gameplay_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/gameplay_table.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/gameplay_table_shadow.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/launch_zone.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/map_background.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/map_title.png,500,120,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/table_edge_overlay.png,720,1280,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/theme_badge.png,128,128,RGBA,True
assets/ui_assets/campaign/islands/volcano_bay/world_icon.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/azure_bay.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/billionaire_island.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/coconut_beach.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/final_island.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/frozen_paradise.png,220,220,RGBA,True
assets/ui_assets/campaign/world_map/island_locked_overlay.png,320,180,RGBA,True
assets/ui_assets/campaign/world_map/island_name_panel.png,440,190,RGBA,True
